county,areacode,village,number,name,address,administration,latitude,longitude,grade,type2,type,exec,diaper
10004,1000401,十興里,J010000774,遠百竹北5F(南側)-男廁,新竹縣竹北市十興里莊敬北路18號,遠東百貨股份有限公司,24.82338000,121.02387500,特優級,商業營業場所,男廁所,遠東百貨竹北店,0
10004,1000401,十興里,J010000767,遠百竹北4F(北側)-無障礙親子廁所,新竹縣竹北市十興里莊敬北路18號,遠東百貨股份有限公司,24.82202000,121.02432400,特優級,商業營業場所,無障礙廁所,遠東百貨竹北店,1
10003,1000309,高原里,H090000363,桃園市龍潭區臺灣客家茶文化館B棟1樓商店街男廁,桃園市龍潭區高原里高原路768號,桃園市政府客家事務局,24.83100400,121.19156000,特優級,文化育樂活動場所,男廁所,福爾摩沙股份有限公司,0
10014,1001402,信義里,V020000136,成功鎮都歷活動中心無障礙廁,臺東縣成功鎮信義里都歷路110號,臺東縣成功鎮公所,23.02863400,121.33137400,特優級,社福機構、集會場所,無障礙廁所,臺東縣成功鎮公所,0
10014,1001402,忠孝里,V020000129,成功鎮孝思堂女廁,臺東縣成功鎮忠孝里成廣路120號,臺東縣成功鎮公所,23.16593800,121.40356700,特優級,宗教禮儀場所,女廁所,臺東縣成功鎮公所,0
10014,1001402,忠仁里,V020000122,成功鎮故事館一樓男廁,臺東縣成功鎮忠仁里中山東路75號,臺東縣成功鎮公所,23.10031000,121.37949700,特優級,文化育樂活動場所,男廁所,臺東縣成功鎮公所,0
10014,1001401,豐年里,V010000404,稅務局3樓無障礙廁所,臺東縣臺東市豐年里中興路2段729號,臺東縣稅務局,22.76893200,121.11897900,特優級,民眾洽公場所,無障礙廁所,臺東縣稅務局,0
10001,1000102,奕壽里,F020001979,三重區光榮國小地下停車場-男廁,"新北市三重區奕壽里介壽路32號B1 樓",新北市政府交通局,25.07092700,121.50131800,特優級,交通,男廁所,大日開發有限公司,0
10020,1002001,過溝里,I010000910,嘉義in89豪華影城8F親子廁所,嘉義市東　區過溝里民族路328號,豪華大戲院股份有限公司,23.47643800,120.45273400,特優級,休閒娛樂場所,親子廁所,豪華大戲院股份有限公司,0
10007,1000709,溪頭村,N090000079,芬園鄉立納骨塔1F-男廁,彰化縣芬園鄉溪頭村碧園路一段287巷301號,芬園鄉公所,23.97825900,120.63694900,不合格,宗教禮儀場所,男廁所,芬園鄉公所,0
10013,1001301,維新里,T010000759,屏東西市場二樓男廁,屏東縣屏東市維新里和平路320號,屏東縣政府工商科,22.67221400,120.47845000,特優級,商業營業場所,男廁所,屏東縣政府工商科,0
10013,1001301,維新里,T010000757,屏東西市場一樓無障礙廁所,屏東縣屏東市維新里和平路320號,屏東縣政府工商科,22.67221400,120.47845000,特優級,商業營業場所,無障礙廁所,屏東縣政府工商科,0
10009,1000902,南昌里,P020000224,斗南鎮第二公有零售市場B棟-女廁,雲林縣斗南鎮南昌里光復街36號,斗南鎮公所,23.67486400,120.47780000,特優級,商業營業場所,女廁所,雲林縣斗南鎮公所,0
10009,1000902,南昌里,P020000222,斗南鎮第二公有零售市場C棟-女廁,雲林縣斗南鎮南昌里光復街36號,斗南鎮公所,23.67486400,120.47780000,優等級,商業營業場所,女廁所,雲林縣斗南鎮公所,0
10019,1000604,中社里,B120000290,臺中市港區藝術中心(雅書廊)3F-無障礙廁所,臺中市清水區中社里忠貞路21號,臺中市政府文化局,24.27046800,120.55834600,特優級,文化育樂活動場所,無障礙廁所,臺中市港區藝術中心,0
10009,1000902,南昌里,P020000216,斗南鎮第二公有零售市場B棟-男廁,雲林縣斗南鎮南昌里光復街36號,斗南鎮公所,23.67486400,120.47780000,特優級,商業營業場所,男廁所,雲林縣斗南鎮公所,0
10004,1000401,十興里,J010000766,遠百竹北4F(北側)-女廁,新竹縣竹北市十興里莊敬北路18號,遠東百貨股份有限公司,24.82202000,121.02432400,特優級,商業營業場所,女廁所,遠東百貨竹北店,0
10003,1000309,高原里,H090000364,桃園市龍潭區臺灣客家茶文化館B棟1樓商店街女廁,桃園市龍潭區高原里高原路768號,桃園市政府客家事務局,24.83100400,121.19156000,特優級,文化育樂活動場所,女廁所,福爾摩沙股份有限公司,0
10005,1000504,海口里,K040000189,賞鳥平台公廁-無障礙廁,苗栗縣竹南鎮海口里海口里,竹南鎮公所,24.67525949,120.83242908,特優級,觀光地區及風景區,無障礙廁所,竹南鎮公所清潔隊,0
10001,1000101,歡園里,F010002819,歡仔園市民活動中心-無障礙廁所,新北市板橋區歡園里大觀路1段38巷1-5號,新北市板橋區公所,25.00449200,121.44281700,特優級,社福機構、集會場所,無障礙廁所,新北市板橋區公所,0
64000,1001213,社南里,E240000169,路竹區體育公園-無障礙廁所,高雄市路竹區社南里大同路155號,高雄市政府運動發展局,22.86281200,120.26721900,特優級,公園,無障礙廁所,高雄市路竹區公所,0
10020,1002001,過溝里,I010000901,嘉義in89豪華影城5F親子廁所,嘉義市東　區過溝里民族路328號,豪華大戲院股份有限公司,23.47643800,120.45273400,特優級,休閒娛樂場所,親子廁所,豪華大戲院股份有限公司,0
10009,1000916,五港村,P160000093,台西鄉五條港成功公廁-無障礙廁,雲林縣臺西鄉五港村五港路442號,縣市政府,23.71693000,120.20243100,特優級,其他,無障礙廁所,雲林縣政府城鄉發展處城鄉工程科,0
10009,1000916,五港村,P160000092,台西鄉五條港成功公廁-女廁,雲林縣臺西鄉五港村五港路442號,縣市政府,23.71693000,120.20243100,特優級,其他,女廁所,雲林縣政府城鄉發展處城鄉工程科,0
10021,1001112,塭內里,D120000186,蚶寮社區活動中心2F男廁,臺南市佳里區塭內里蚶寮５１號之１,佳里區公所,23.12556800,120.15624900,特優級,社福機構、集會場所,男廁所,佳里區公所,0
10021,1001112,塭內里,D120000185,蚶寮社區活動中心2F女廁,臺南市佳里區塭內里蚶寮５１號之１,佳里區公所,23.12556800,120.15624900,特優級,社福機構、集會場所,女廁所,佳里區公所,0
10018,1001802,湳雅里,O020000710,iFG遠雄新竹店北側B1男廁,新竹市北　區湳雅里湳雅街91-2號,iFG遠雄新竹店,24.81920600,120.96967600,特優級,商業營業場所,男廁所,iFG遠雄新竹店,0
10014,1001402,忠孝里,V020000130,成功鎮孝思堂無障礙廁所,臺東縣成功鎮忠孝里成廣路120號,臺東縣成功鎮公所,23.16593800,121.40356700,特優級,宗教禮儀場所,無障礙廁所,臺東縣成功鎮公所,0
10014,1001402,忠孝里,V020000128,成功鎮孝思堂男廁,臺東縣成功鎮忠孝里成廣路120號,臺東縣成功鎮公所,23.16593800,121.40356700,特優級,宗教禮儀場所,男廁所,臺東縣成功鎮公所,0
10001,1000102,奕壽里,F020001980,三重區光榮國小地下停車場-女廁,"新北市三重區奕壽里介壽路32號B1 樓",新北市政府交通局,25.07092700,121.50131800,特優級,交通,女廁所,大日開發有限公司,0
10007,1000717,仁雅村,N170000154,社頭鄉公所2F-男廁,彰化縣社頭鄉仁雅村社斗路一段295號,社頭鄉公所,23.89680600,120.58583600,特優級,民眾洽公場所,男廁所,社頭鄉公所,0
10020,1002001,過溝里,I010000909,嘉義in89豪華影城8F女廁,嘉義市東　區過溝里民族路328號,豪華大戲院股份有限公司,23.47643800,120.45273400,特優級,休閒娛樂場所,女廁所,豪華大戲院股份有限公司,0
10020,1002001,過溝里,I010000907,嘉義in89豪華影城7F無障礙廁所,嘉義市東　區過溝里民族路328號,豪華大戲院股份有限公司,23.47643800,120.45273400,特優級,休閒娛樂場所,無障礙廁所,豪華大戲院股份有限公司,0
10020,1002001,過溝里,I010000891,嘉義in89豪華影城2F女廁,嘉義市東　區過溝里民族路328號,豪華大戲院股份有限公司,23.47643800,120.45273400,特優級,休閒娛樂場所,女廁所,豪華大戲院股份有限公司,0
10005,1000518,清安村,K180000033,苗栗縣泰安鄉公所-無障礙廁,苗栗縣泰安鄉清安村洗水坑60之3號,泰安鄉公所,24.44756200,120.90639100,特優級,民眾洽公場所,無障礙廁所,泰安鄉公所行政室,0
